epoch,train_loss,train_auc_roc,train_recall,val_loss,val_auc_roc,val_recall,val_precision,val_f1,val_fpr
1,0.4501961382230123,0.9408995510845248,0.8808777429467085,0.3330532177573159,0.960724423456774,0.906183368869936,0.8534136546184738,0.8790072388831437,0.0895705521472393
2,0.22806450396776198,0.9817152703428109,0.9473354231974922,0.3173989717449461,0.9666082383873795,0.906183368869936,0.8762886597938144,0.8909853249475891,0.07361963190184051
3,0.17858902871608734,0.9882512858991507,0.9655172413793104,0.36878577939101626,0.9676625636061587,0.8443496801705757,0.9020501138952164,0.8722466960352423,0.05276073619631905
4,0.15925738955537477,0.9887819571765677,0.9648902821316614,0.34673256391570684,0.9682773686344789,0.8912579957356077,0.8989247311827957,0.8950749464668094,0.05766871165644172
5,0.13908773268262545,0.9912134755706348,0.9717868338557993,0.3374077606768835,0.9696273235051733,0.8933901918976546,0.8802521008403361,0.8867724867724868,0.0699386503067485
6,0.12654920163253944,0.9930014265250623,0.9724137931034482,0.35431040823459625,0.9702970685573011,0.8869936034115139,0.8946236559139785,0.8907922912205567,0.06012269938650305
7,0.12023786428074042,0.9931485276541224,0.974294670846395,0.32457992860249113,0.9702761390244222,0.9019189765458422,0.8775933609958506,0.889589905362776,0.07239263803680984
8,0.11011677036682764,0.9951515942381436,0.9730407523510972,0.40275359863326665,0.9706240925085353,0.8614072494669509,0.9223744292237442,0.8908489525909592,0.041717791411042926
9,0.10066029233237107,0.9959440422559858,0.9755485893416928,0.344145988424619,0.9693421586196973,0.9104477611940298,0.8732106339468303,0.8914405010438413,0.07607361963190185
10,0.0879719400157531,0.996152040089012,0.9811912225705329,0.409931549004146,0.967921566575536,0.8720682302771855,0.8930131004366813,0.8824163969795038,0.06012269938650305
11,0.0826420804237326,0.9973440732974873,0.9818181818181818,0.43231314775489627,0.9666448650699176,0.8784648187633263,0.9054945054945055,0.8917748917748918,0.05276073619631905
12,0.07393200118094682,0.9977637267201095,0.9824451410658307,0.4205185529731569,0.9688686279383102,0.8805970149253731,0.8997821350762527,0.8900862068965517,0.05644171779141105
13,0.06635772778342168,0.9980358835805284,0.9836990595611286,0.4601068886972609,0.9668541603987074,0.8550106609808102,0.9031531531531531,0.8784227820372399,0.05276073619631905
14,0.05940034280220668,0.9984071953014634,0.986833855799373,0.4432439165455954,0.9666134707705991,0.8763326226012793,0.8973799126637555,0.8867313915857605,0.05766871165644172
15,0.05207090448588133,0.9988548256189269,0.9880877742946709,0.5266992527814138,0.9633850903240153,0.8272921108742004,0.8960739030023095,0.8603104212860311,0.05521472392638038
16,0.046140732454756896,0.9989016844463294,0.9899686520376175,0.472336796777589,0.9659162557065679,0.8699360341151386,0.8986784140969163,0.8840736728060672,0.05644171779141105
17,0.04280285562078158,0.9989924363525642,0.987460815047022,0.4493637028194609,0.9665245202558636,0.8805970149253731,0.89587852494577,0.8881720430107527,0.058895705521472386
18,0.04325027972459793,0.9990209075388339,0.9905956112852664,0.5269288278761364,0.9648580062003741,0.8336886993603412,0.9030023094688222,0.8669623059866962,0.05153374233128838
19,0.03966921873390675,0.9992166469444387,0.9912225705329154,0.5199334862686339,0.964860622391984,0.8443496801705757,0.9,0.8712871287128713,0.053987730061349715
20,0.034435618470112485,0.9992787299478325,0.9918495297805643,0.5755795020432699,0.9627388909963767,0.8102345415778252,0.8962264150943396,0.851063829787234,0.053987730061349715
21,0.033236322154601414,0.9994119909169007,0.9924764890282132,0.5224741775365103,0.9642536659384934,0.8507462686567164,0.9006772009029346,0.875,0.053987730061349715
22,0.0318209179242452,0.9994297854083193,0.9949843260188088,0.5820982796805245,0.9627218857509123,0.8187633262260128,0.8992974238875878,0.8571428571428571,0.05276073619631905
23,0.029523577336221934,0.9994195041466107,0.9956112852664577,0.5592607174600873,0.963784059544521,0.835820895522388,0.8990825688073395,0.8662983425414365,0.053987730061349715
24,0.029787321003774802,0.9995252825122658,0.9949843260188088,0.5544994139955157,0.964073148717412,0.837953091684435,0.8993135011441648,0.8675496688741722,0.053987730061349715
25,0.031230246505389612,0.9993174823958109,0.9943573667711598,0.5802473007213502,0.9638442319515481,0.8251599147121536,0.8979118329466357,0.86,0.053987730061349715
26,0.028843049810578426,0.9995096629031318,0.9956112852664577,0.5813721191315424,0.96401166821458,0.8272921108742004,0.9002320185614849,0.8622222222222222,0.05276073619631905
27,0.02571348053092758,0.999557114880248,0.9949843260188088,0.5521435084797087,0.9642588983217131,0.8422174840085288,0.8997722095671982,0.8700440528634361,0.053987730061349715
28,0.026419139951467514,0.9995389249556867,0.9956112852664577,0.5843873428446906,0.963722579041689,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
29,0.029448389460643133,0.9994341351728884,0.993103448275862,0.5814580619335175,0.9634701165513362,0.8272921108742004,0.9002320185614849,0.8622222222222222,0.05276073619631905
30,0.026168401092290877,0.9994404621031705,0.9949843260188088,0.5841483019647145,0.9635773804073411,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
31,0.027025378569960595,0.9995401112551147,0.9956112852664577,0.5944489127113706,0.9632856750428402,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
32,0.026302406080067158,0.9996130686699309,0.9943573667711598,0.5815370835009075,0.9635263646709484,0.8272921108742004,0.9002320185614849,0.8622222222222222,0.05276073619631905
33,0.02540200438350439,0.9996249316642101,0.9956112852664577,0.5900766558590389,0.9633615445995265,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
34,0.024808963959415755,0.999693341597886,0.9962382445141066,0.5904925557829085,0.963370701270161,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
35,0.026258549491564434,0.9993649343729271,0.9968652037617555,0.5983493413243975,0.9632359674022525,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
36,0.028551894544313353,0.9994606291934449,0.9937304075235109,0.5988180828945977,0.9632895993302549,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
37,0.024867304967095456,0.99959942622651,0.9956112852664577,0.5974666653644471,0.9633223017253784,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
38,0.025529820198814075,0.9994995793579944,0.9968652037617555,0.5983971364441372,0.9633183774379634,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
39,0.02534393491844336,0.9996435170219139,0.9956112852664577,0.6004907417865026,0.9633013721924992,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
40,0.026585183975597223,0.9995543468482496,0.9943573667711598,0.5991897348846708,0.9632935236176697,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
41,0.02830702461923162,0.9994102114677589,0.9937304075235109,0.5967555081560498,0.9633327664918179,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
42,0.026662435196340085,0.9995921107133713,0.9956112852664577,0.5979593637443724,0.9633131450547437,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
43,0.02480402326832215,0.9995242939294093,0.9968652037617555,0.5972444486050379,0.9633118369589387,0.8230277185501066,0.8997668997668997,0.8596881959910914,0.05276073619631905
44,0.026545151732861996,0.9995636395271015,0.9962382445141066,0.5999098923944292,0.9632542807435216,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
45,0.026854101084172726,0.9996373878082031,0.9949843260188088,0.6002578692776817,0.9632464321686921,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
46,0.027543898957471055,0.9995618600779597,0.993103448275862,0.598664450503531,0.9632595131267414,0.8208955223880597,0.8995327102803738,0.8584169453734671,0.05276073619631905
