epoch,train_loss,train_auc_roc,train_recall,val_loss,val_auc_roc,val_recall,val_precision,val_f1,val_fpr
1,0.4530292168259621,0.9279824948650126,0.8808091853471842,0.3171480574778148,0.9644629612672831,0.9040511727078892,0.8851774530271399,0.8945147679324894,0.06748466257668717
2,0.23038290423505448,0.9797642862244421,0.9420448332422089,0.30183733999729156,0.9683584705743848,0.9019189765458422,0.8867924528301887,0.8942917547568711,0.06625766871165639
3,0.1871640619767063,0.9851648737310301,0.9540732640787315,0.3279935277643658,0.9680471437728098,0.8955223880597015,0.8993576017130621,0.8974358974358975,0.05766871165644172
4,0.16043666478465585,0.9885033851511434,0.9622744669218152,0.34583987792332965,0.9691380956741271,0.8763326226012793,0.9072847682119205,0.8915401301518439,0.05153374233128838
5,0.14392056447618148,0.9901417786020027,0.9688354291962821,0.32028267603544963,0.9710374507828954,0.8912579957356077,0.9008620689655172,0.8960342979635584,0.05644171779141105
6,0.13186371712123646,0.9920852543358011,0.9699289229086933,0.34800661851962406,0.9721728779415805,0.8763326226012793,0.9133333333333333,0.8944504896626768,0.047852760736196265
7,0.11689236045760266,0.9936077411473803,0.9726626571897211,0.4431329972687222,0.9699438826899681,0.8123667377398721,0.927007299270073,0.865909090909091,0.036809815950920255
8,0.11484982796451625,0.9935310857604461,0.9726626571897211,0.41747706277029856,0.9703703219223776,0.8081023454157783,0.9199029126213593,0.8603859250851306,0.04049079754601226
9,0.09810635611853179,0.9955379792039168,0.9764898851831602,0.44496784039906095,0.9702813714076418,0.814498933901919,0.9182692307692307,0.8632768361581921,0.041717791411042926
10,0.09251851424136583,0.9954671730232145,0.9792236194641881,0.5182292319479442,0.9692414352427171,0.7846481876332623,0.9246231155778895,0.8489042675893888,0.036809815950920255
11,0.08260578972232692,0.9967458402908103,0.9797703663203936,0.47370019129344393,0.9700249846298742,0.8123667377398721,0.9225181598062954,0.8639455782312925,0.03926380368098159
12,0.0734569720869117,0.9971700616691049,0.9835975943138326,0.4486069523152851,0.9699844336599212,0.8400852878464818,0.9099307159353349,0.8736141906873615,0.047852760736196265
13,0.06833224107018289,0.9973861744467267,0.9852378348824494,0.5022547493378321,0.9694834329666304,0.8166311300639659,0.916267942583732,0.8635851183765502,0.042944785276073594
14,0.0636737847372013,0.9978819716381225,0.9868780754510662,0.5338633195275352,0.9691171661412481,0.8038379530916845,0.9150485436893204,0.8558456299659478,0.042944785276073594
15,0.05646911732414189,0.9984279488619291,0.9868780754510662,0.4676869937351772,0.9698549321752326,0.8486140724946695,0.9128440366972477,0.8795580110497238,0.0466257668711656
16,0.05487664041712004,0.9982002915983232,0.9868780754510662,0.526233454545339,0.9703964838384763,0.8059701492537313,0.9287469287469288,0.863013698630137,0.03558282208588959
17,0.052284654722932505,0.9984182514937026,0.9890650628758885,0.5112539437555131,0.9694284929428232,0.8187633262260128,0.9186602870813397,0.8658399098083427,0.041717791411042926
18,0.04975712798974093,0.9986820814800585,0.9901585565882997,0.5049094493900027,0.9695436053736575,0.8294243070362474,0.9174528301886793,0.8712206047032475,0.042944785276073594
19,0.04611200891873416,0.9987601222053109,0.9923455440131219,0.5165554739180065,0.9692165814224234,0.8230277185501066,0.9168646080760094,0.8674157303370786,0.042944785276073594
20,0.04640053655294811,0.9987484237928471,0.9885183160196829,0.5407455691269466,0.9689340327285569,0.8166311300639659,0.9228915662650602,0.8665158371040724,0.03926380368098159
21,0.04532187138410176,0.9988187681941099,0.9917987971569163,0.5696191049757457,0.9686279383102019,0.8059701492537313,0.9242053789731052,0.8610478359908884,0.03803680981595092
22,0.042693378584568994,0.9988179985617109,0.9923455440131219,0.5212842992373875,0.9694938977330699,0.8294243070362474,0.9174528301886793,0.8712206047032475,0.042944785276073594
23,0.04155613462824155,0.9989631512321507,0.9912520503007107,0.5269181260040828,0.9695802320561958,0.8294243070362474,0.9196217494089834,0.8721973094170403,0.041717791411042926
24,0.039687073099262574,0.9991681813032278,0.9928922908693275,0.5556713775509879,0.9688660117467003,0.814498933901919,0.9182692307692307,0.8632768361581921,0.041717791411042926
25,0.04056528284050086,0.9989348287598696,0.9934390377255331,0.5691657726253782,0.968562533519955,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
26,0.04225560051991659,0.9992106650116492,0.9923455440131219,0.5521648072061085,0.9688372336389918,0.8166311300639659,0.9184652278177458,0.8645598194130926,0.041717791411042926
27,0.04032588896396406,0.9991720294652224,0.9917987971569163,0.5686298715216773,0.9687116564417176,0.8102345415778252,0.9178743961352657,0.8607021517553793,0.041717791411042926
28,0.03804474486147656,0.9991200023150543,0.9939857845817387,0.5656695642641613,0.968604392585713,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
29,0.037781107995439975,0.9990939887399701,0.9945325314379442,0.5771896406298592,0.9684369563226809,0.8123667377398721,0.9202898550724637,0.8629671574178935,0.04049079754601226
30,0.03915567580500946,0.9991860367748832,0.9923455440131219,0.5844052008220127,0.968353238191165,0.8102345415778252,0.9200968523002422,0.8616780045351474,0.04049079754601226
31,0.03778073731809854,0.9991307002053995,0.9923455440131219,0.5802395939826965,0.9684094863107774,0.8102345415778252,0.9200968523002422,0.8616780045351474,0.04049079754601226
32,0.037588021509787614,0.9990334956334137,0.9945325314379442,0.5707265912067323,0.9686541002263006,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
33,0.03891187131624011,0.9991055332259543,0.9923455440131219,0.573770013593492,0.9685075934961476,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
34,0.03788930757847779,0.9992688492210089,0.9912520503007107,0.572566623489062,0.9684905882506835,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
35,0.036194387571338346,0.9991985048197458,0.9945325314379442,0.5752710685843513,0.9684500372807304,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
36,0.03906094774822978,0.9990464254577157,0.9928922908693275,0.5755817208971296,0.9685232906458069,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
37,0.03824297162868521,0.9989622276732719,0.9939857845817387,0.5729461943819409,0.968580846861224,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
38,0.03636837352943771,0.9993034826789611,0.9934390377255331,0.575292366601172,0.9685075934961477,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
39,0.0398996692698668,0.999054121781705,0.9912520503007107,0.5770892330578395,0.9684866639632685,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
40,0.037577327817459316,0.9990684369443255,0.9928922908693275,0.5747296526318505,0.9685102096877576,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
41,0.03604216558091781,0.9992205163063556,0.9945325314379442,0.5742391872973669,0.968501053017123,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
42,0.03930892292957972,0.99893467483339,0.9928922908693275,0.5759293465387254,0.9684657344303896,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
43,0.03722804045742926,0.9989996318078603,0.9939857845817387,0.5767047731649309,0.9684683506219994,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
44,0.040132625521544146,0.9989234382003656,0.9917987971569163,0.5768826710326331,0.9684631182387797,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
45,0.03583250269293785,0.9991878838926406,0.9945325314379442,0.5764401427337101,0.9684735830052194,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
46,0.03815076765330399,0.9992468377343993,0.9901585565882997,0.5751028912408012,0.9684735830052192,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
47,0.03766881559482392,0.9991238504770489,0.9923455440131219,0.5750696304298583,0.9684696587178043,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
48,0.035517590312177647,0.9991429373605426,0.9923455440131219,0.5758238626377923,0.9684631182387797,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
49,0.038721260132596774,0.9990150244558391,0.9923455440131219,0.576272318760554,0.968459193951365,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
50,0.037492607610628885,0.9991130756234639,0.9928922908693275,0.5762507610377812,0.9684618101429749,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
51,0.036701778437503996,0.999229597968663,0.9928922908693275,0.57637187341849,0.9684631182387797,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
52,0.034868325419066586,0.999294862796093,0.9934390377255331,0.5765412315016701,0.9684657344303896,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
53,0.03688022531021167,0.9991009154315605,0.9934390377255331,0.5769340523651668,0.9684735830052192,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
54,0.0586094522739158,0.9992425277929652,0.9912520503007107,0.5766853754009519,0.9684735830052191,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
55,0.035816640341106584,0.9991617163910766,0.9934390377255331,0.5766952846731458,0.9684709668136093,0.8123667377398721,0.9158653846153846,0.8610169491525423,0.042944785276073594
56,0.03580621738425072,0.9991507876110117,0.9928922908693275,0.5768298733802069,0.9684748911010245,0.8123667377398721,0.9180722891566265,0.8619909502262444,0.041717791411042926
